,Water Year,MONTH,DAY,09480000streamflow(cfs),11151300streamflow(cfs),10172700streamflow(cfs),08194200streamflow(cfs),08267500streamflow(cfs),06154410streamflow(cfs),02235200streamflow(cfs),02177000streamflow(cfs),07315200streamflow(cfs),12041200streamflow(cfs),10259000streamflow(cfs)
0,1981,1,1,0.35,3.0,4.4,0.0,10.0,1.5,0.0,203.0,0.03,3770,3.0
1,1981,1,2,0.35,3.2,4.4,0.0,9.9,1.5,0.0,194.0,0.02,3250,3.1
2,1981,1,3,0.35,1.0,4.4,0.0,9.8,1.5,0.0,189.0,0.02,2870,3.1
3,1981,1,4,0.35,3.0,4.7,0.0,9.8,1.7,0.0,185.0,0.02,2570,3.0
4,1981,1,5,0.35,3.3,4.5,0.0,9.7,1.7,0.0,185.0,0.02,2350,3.1
5,1981,1,6,0.35,3.3,4.4,0.0,9.8,1.6,0.0,199.0,0.02,2160,3.0
6,1981,1,7,0.44,3.3,4.4,0.0,10.0,1.7,0.0,222.0,0.01,2020,2.8
7,1981,1,8,0.39,3.3,4.4,0.0,9.7,1.7,0.0,213.0,0.01,1910,2.6
8,1981,1,9,0.34,3.3,4.5,0.0,9.4,1.7,0.0,208.0,0.01,2010,2.5
9,1981,1,10,0.35,3.3,4.6,0.0,10.0,1.6,0.0,203.0,0.01,1830,2.6
10,1981,1,11,0.4,3.3,4.6,0.0,10.0,1.6,0.0,199.0,0.01,1660,3.8
11,1981,1,12,0.46,3.2,4.7,0.0,10.0,1.6,0.0,197.0,0.01,1550,4.4
12,1981,1,13,0.49,2.9,4.8,0.0,9.5,1.6,0.0,194.0,0.01,1470,4.0
13,1981,1,14,0.44,2.9,4.8,0.0,9.0,1.6,0.0,192.0,0.01,1400,3.3
14,1981,1,15,0.39,2.9,4.8,0.0,9.5,1.6,0.0,190.0,0.01,1340,3.1
15,1981,1,16,0.38,2.9,4.5,0.0,9.5,1.6,0.0,187.0,0.01,1280,3.0
16,1981,1,17,0.38,2.9,4.6,0.0,9.0,1.6,0.0,185.0,0.01,1270,2.8
17,1981,1,18,0.4,2.9,4.5,0.0,9.0,1.6,0.0,184.0,0.01,2500,2.8
